A0J3J,12087479.311665116,3482597.0087185013,0.23,0.89,0
A0J3K,12087487.111805873,3482614.5615897556,0.23,0.82,1901
A0J3L,12087476.5690161,3482612.6071077283,0.2,0.91,0
A0J3M,12087474.083462102,3482628.2548162905,0.21,0.9,0
A0J3O,12087471.145420333,3482643.815724094,0.22,0.88,0
A0J3Q,12087472.51960047,3482660.2208241653,0.19,0.94,0
A0J3S,12087469.264135655,3482675.7208399167,0.24,0.85,0
A0J3T,12087491.926014144,3482680.1359815323,0.23,0.87,1175
A0J3U,12087124.064637044,3482625.0996266217,0.24,0.86,0
A0J3V,12087468.197207715,3482691.6406799634,0.18,0.92,0
A0J3W,12087464.027256213,3482706.965270288,0.2,0.92,0
A0J5A,12087593.321790129,3482699.7055180953,0.21,0.94,0
A0J5B,12087590.076747831,3482715.2075154823,0.21,0.94,0
A0J5C,12087587.255454935,3482730.790799977,0.2,0.94,0
A0K89,12087461.976126837,3482722.6963099805,0.19,0.93,0
A0K8A,12087459.557823788,3482738.356916094,0.17,0.95,0
A0K8B,12087456.271099756,3482753.85093414,0.18,0.93,0
A0K8C,12087454.997683652,3482769.731161077,0.22,0.85,0
A0K8D,12087584.854626315,3482746.454739919,0.19,0.93,0
A0K8E,12087581.587845795,3482761.952566609,0.2,0.94,0
A0K8F,12087577.91910832,3482777.37328647,0.25,0.87,0
A0K8G,12087575.362360727,3482793.007317133,0.26,0.83,0
A0KO6,12086690.500108602,3483444.5326375277,0.22,0.86,0
A0KO7,12086688.165731614,3483460.2094112956,0.19,0.87,0
A0KO9,12086566.250892092,3483549.54273777,0.25,0.75,0
A0KOA,12086563.737522528,3483565.185188733,0.22,0.85,0
A0KOE,12086779.71557744,3483735.8819950046,0.22,0.83,1261
A0KOF,12086540.729305036,3483802.6741151772,0.2,0.89,0
A0KOJ,12087449.11538107,3482784.727272674,0.19,0.93,0
A0KOK,12087447.899903318,3482800.6186129865,0.19,0.91,0
A0KOL,12087445.630476307,3482816.3077759044,0.21,0.88,0
A0KOM,12087442.051666604,3482831.7457627207,0.27,0.8,0
A0KOO,12087443.778286496,3482848.2184593445,0.19,0.91,0
A0KOP,12087441.212399518,3482863.850751457,0.21,0.88,0
A0KOQ,12087436.73884681,3482879.117101225,0.26,0.77,0
A0KOR,12087451.189394189,3482930.2625906006,0.26,0.82,864
A0KOS,12087323.974227998,3482986.3459933754,0.23,0.82,829
A0KOU,12087339.61690878,3483311.9554025894,0.23,0.85,0
A0KOV,12087334.96529092,3483327.187596629,0.23,0.78,0
A0KOX,12087127.699408682,3483335.514022503,0.2,0.84,0
A0KOY,12087337.407690808,3483376.0465264344,0.25,0.78,0
A0KOZ,12087125.619465636,3483351.2395496205,0.25,0.73,0
A0KP0,12086989.23494499,3483340.9986508964,0.19,0.85,0
A0KP1,12087123.803161774,3483367.015648107,0.23,0.85,0
A0KP2,12087329.534290947,3483406.7851862386,0.17,0.94,0
A0KP3,12086987.78449415,3483356.844945341,0.19,0.87,0
A0KP4,12087327.631315613,3483422.54462817,0.19,0.9,0
A0KP5,12086882.700571772,3483352.6592000066,0.2,0.86,0
A0KP6,12086880.627759187,3483368.3861264214,0.18,0.91,0
A0KP7,12087049.548975995,3483401.0606600796,0.22,0.92,2609
A0KP8,12087320.934715595,3483453.509023419,0.2,0.83,0
A0KP9,12086873.809657482,3483447.717923901,0.2,0.88,0
A0KPA,12086976.092605948,3483467.490817495,0.25,0.75,0
A0KPB,12087180.090425303,3483506.9446215886,0.21,0.88,1607
A0KPC,12086872.180747401,3483463.5299953646,0.2,0.86,0
A0KPD,12086972.20065059,3483482.868774751,0.26,0.78,0
A0KPE,12087308.393658066,3483547.8671956826,0.2,0.86,0
A0KPF,12086977.983782435,3483500.1196014225,0.2,0.9,0
A0KPG,12086917.923432002,3483504.60440551,0.19,0.9,0
A0KPH,12086895.898967128,3483516.4702120516,0.27,0.77,0
A0KPI,12086916.373018205,3483520.4315252765,0.22,0.89,0
A0KPJ,12086867.66041593,3483527.1440360034,0.16,0.87,0
A0KPK,12086913.762343526,3483536.055265921,0.23,0.76,0
A0KPL,12087005.586368397,3483553.8388356864,0.26,0.7,0
A0KPM,12086866.083292836,3483542.966039043,0.21,0.78,0
A0KPN,12086965.988681793,3483562.3167495094,0.2,0.91,0
